Glottocode,split.Pro.1.incl.excl,split.Pro.3.human,split.Pro.3.animate,split.DEM.human,split.DEM.animate,split.N.kin,split.N.human,split.N.animate
savo1255,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
shas1239,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
sher1255,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
siks1238,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
sipa1247,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
siri1273,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
siwa1245,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
sora1254,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
sout1549,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
sout2750,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
sout2826,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
sout2832,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
sout2956,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
sout2986,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
stan1289,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
sunw1242,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
svan1243,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
taba1266,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
taji1245,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
tapi1253,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
tapi1254,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
